% Moku:Go Oscilloscope
% Channel A (Input 2), DC coupling, 1 x probe attenuation
% Channel B (Input 1), DC coupling, 1 x probe attenuation
% Time span 295.4 ms, time offset 3.629 ms, Normal acquisition mode, no averaging
% Edge trigger: Channel A, level 0.000 V, Auto mode, Rising edge, Auto sensitivity, noise reject off, HF reject off
% Output 1 (off) - Sine, 10.000 000 000 000 MHz, 1.000 0 Vpp, offset 0.000 0 V, phase 0.000 000 deg
% Output 2 (off) - Ramp, 50.000 000 000 kHz, 500.0 mVpp, offset 0.000 0 V, phase 0.000 000 deg, symmetry 90.00 %
% Acquired 2025-06-23 T 17:12:21 +0200
% Time (s), Channel A (Input 2) (V), Channel B (Input 1) (V)
-1.014953280000e-01, -7.883488e+00, 3.346361e-01
-1.012056960000e-01, -7.914020e+00, 3.358574e-01
-1.009160640000e-01, -7.944553e+00, 3.370787e-01
-1.006264320000e-01, -7.956766e+00, 3.358574e-01
-1.003368000000e-01, -7.962872e+00, 3.346361e-01
-1.000471680000e-01, -7.975085e+00, 3.358574e-01
-9.975753600000e-02, -7.999511e+00, 3.358574e-01
-9.946790400000e-02, -8.011724e+00, 3.358574e-01
-9.917827200000e-02, -8.017831e+00, 3.358574e-01
-9.888864000000e-02, -8.017831e+00, 3.346361e-01
-9.859900800000e-02, -8.017831e+00, 3.346361e-01
-9.830937600000e-02, -8.017831e+00, 3.358574e-01
-9.801974400000e-02, -8.011724e+00, 3.358574e-01
-9.773011200000e-02, -7.993405e+00, 3.358574e-01
-9.744048000000e-02, -7.975085e+00, 3.346361e-01
-9.715084800000e-02, -7.962872e+00, 3.346361e-01
-9.686121600000e-02, -7.950659e+00, 3.358574e-01
-9.657158400000e-02, -7.914020e+00, 3.346361e-01
-9.628195200000e-02, -7.901807e+00, 3.334148e-01
-9.599232000000e-02, -7.883488e+00, 3.358574e-01
-9.570268800000e-02, -7.846849e+00, 3.358574e-01
-9.541305600000e-02, -7.816316e+00, 3.346361e-01
-9.512342400000e-02, -7.791890e+00, 3.346361e-01
