% Moku:Go Oscilloscope
% Channel A (Input 2), DC coupling, 1 x probe attenuation
% Channel B (Input 1), DC coupling, 1 x probe attenuation
% Time span 295.4 ms, time offset 3.629 ms, Normal acquisition mode, no averaging
% Edge trigger: Channel A, level 0.000 V, Auto mode, Rising edge, Auto sensitivity, noise reject off, HF reject off
% Output 1 (off) - Sine, 10.000 000 000 000 MHz, 1.000 0 Vpp, offset 0.000 0 V, phase 0.000 000 deg
% Output 2 (off) - Ramp, 50.000 000 000 kHz, 500.0 mVpp, offset 0.000 0 V, phase 0.000 000 deg, symmetry 90.00 %
% Acquired 2025-06-23 T 17:12:22 +0200
% Time (s), Channel A (V), Channel B (V)
-1.6945540800e-01, -2.2838299731e+00, 3.3463606867e-01
-1.6943472000e-01, -2.2838299731e+00, 3.3463606867e-01
-1.6941403200e-01, -2.2838299731e+00, 3.3463606867e-01
-1.6939334400e-01, -2.2838299731e+00, 3.3463606867e-01
-1.6937265600e-01, -2.3082559621e+00, 3.3463606867e-01
-1.6935196800e-01, -2.2960429676e+00, 3.3463606867e-01
-1.6933128000e-01, -2.3082559621e+00, 3.3463606867e-01
-1.6931059200e-01, -2.2960429676e+00, 3.3463606867e-01
-1.6928990400e-01, -2.2960429676e+00, 3.3219346963e-01
-1.6926921600e-01, -2.3082559621e+00, 3.3219346963e-01
-1.6924852800e-01, -2.3082559621e+00, 3.3463606867e-01
-1.6922784000e-01, -2.2960429676e+00, 3.3463606867e-01
-1.6920715200e-01, -2.2960429676e+00, 3.3463606867e-01
-1.6918646400e-01, -2.3082559621e+00, 3.3463606867e-01
-1.6916577600e-01, -2.3082559621e+00, 3.3463606867e-01
-1.6914508800e-01, -2.3204689566e+00, 3.3707866771e-01
-1.6912440000e-01, -2.3204689566e+00, 3.3463606867e-01
-1.6910371200e-01, -2.3204689566e+00, 3.3463606867e-01
-1.6908302400e-01, -2.3082559621e+00, 3.3463606867e-01
-1.6906233600e-01, -2.3204689566e+00, 3.3463606867e-01
-1.6904164800e-01, -2.3204689566e+00, 3.3463606867e-01
-1.6902096000e-01, -2.3326819511e+00, 3.3463606867e-01
-1.6900027200e-01, -2.3326819511e+00, 3.3707866771e-01
-1.6897958400e-01, -2.3326819511e+00, 3.3463606867e-01
-1.6895889600e-01, -2.3326819511e+00, 3.3219346963e-01
-1.6893820800e-01, -2.3326819511e+00, 3.3463606867e-01
-1.6891752000e-01, -2.3326819511e+00, 3.3463606867e-01
-1.6889683200e-01, -2.3326819511e+00, 3.3463606867e-01
-1.6887614400e-01, -2.3326819511e+00, 3.3219346963e-01
-1.6885545600e-01, -2.3448949456e+00, 3.3463606867e-01
-1.6883476800e-01, -2.3326819511e+00, 3.3463606867e-01
-1.6881408000e-01, -2.3571079401e+00, 3.3463606867e-01
-1.6879339200e-01, -2.3448949456e+00, 3.3463606867e-01
-1.6877270400e-01, -2.3448949456e+00, 3.3219346963e-01
-1.6875201600e-01, -2.3448949456e+00, 3.3463606867e-01
-1.6873132800e-01, -2.3571079401e+00, 3.3463606867e-01
-1.6871064000e-01, -2.3571079401e+00, 3.3219346963e-01
-1.6868995200e-01, -2.3571079401e+00, 3.3463606867e-01
-1.6866926400e-01, -2.3571079401e+00, 3.3463606867e-01
-1.6864857600e-01, -2.3571079401e+00, 3.3463606867e-01
-1.6862788800e-01, -2.3571079401e+00, 3.3463606867e-01
-1.6860720000e-01, -2.3571079401e+00, 3.3463606867e-01
-1.6858651200e-01, -2.3448949456e+00, 3.3463606867e-01
-1.6856582400e-01, -2.3693209346e+00, 3.3463606867e-01
-1.6854513600e-01, -2.3693209346e+00, 3.3463606867e-01
-1.6852444800e-01, -2.3571079401e+00, 3.3463606867e-01
-1.6850376000e-01, -2.3693209346e+00, 3.3463606867e-01
-1.6848307200e-01, -2.3571079401e+00, 3.3463606867e-01
-1.6846238400e-01, -2.3815339291e+00, 3.3463606867e-01
-1.6844169600e-01, -2.3693209346e+00, 3.3463606867e-01
-1.6842100800e-01, -2.3815339291e+00, 3.3463606867e-01
-1.6840032000e-01, -2.3815339291e+00, 3.3463606867e-01
-1.6837963200e-01, -2.3815339291e+00, 3.3463606867e-01
-1.6835894400e-01, -2.3815339291e+00, 3.3463606867e-01
-1.6833825600e-01, -2.3815339291e+00, 3.3463606867e-01
-1.6831756800e-01, -2.3937469237e+00, 3.3463606867e-01
-1.6829688000e-01, -2.3815339291e+00, 3.3463606867e-01
-1.6827619200e-01, -2.3815339291e+00, 3.3219346963e-01
-1.6825550400e-01, -2.3815339291e+00, 3.3219346963e-01
-1.6823481600e-01, -2.3937469237e+00, 3.3219346963e-01
-1.6821412800e-01, -2.3815339291e+00, 3.3463606867e-01
-1.6819344000e-01, -2.3937469237e+00, 3.3463606867e-01
-1.6817275200e-01, -2.3815339291e+00, 3.3463606867e-01
-1.6815206400e-01, -2.4059599182e+00, 3.3463606867e-01
-1.6813137600e-01, -2.3937469237e+00, 3.3463606867e-01
-1.6811068800e-01, -2.3937469237e+00, 3.3707866771e-01
-1.6809000000e-01, -2.3815339291e+00, 3.3463606867e-01
-1.6806931200e-01, -2.3937469237e+00, 3.3463606867e-01
-1.6804862400e-01, -2.3815339291e+00, 3.3463606867e-01
-1.6802793600e-01, -2.3937469237e+00, 3.3463606867e-01
-1.6800724800e-01, -2.4059599182e+00, 3.3463606867e-01
-1.6798656000e-01, -2.3937469237e+00, 3.3463606867e-01
-1.6796587200e-01, -2.4059599182e+00, 3.3463606867e-01
-1.6794518400e-01, -2.4181729127e+00, 3.3707866771e-01
-1.6792449600e-01, -2.4059599182e+00, 3.3463606867e-01
-1.6790380800e-01, -2.4059599182e+00, 3.3463606867e-01
-1.6788312000e-01, -2.4059599182e+00, 3.3463606867e-01
-1.6786243200e-01, -2.4181729127e+00, 3.3463606867e-01
-1.6784174400e-01, -2.4181729127e+00, 3.3463606867e-01
-1.6782105600e-01, -2.4181729127e+00, 3.3463606867e-01
-1.6780036800e-01, -2.4059599182e+00, 3.3463606867e-01
-1.6777968000e-01, -2.4181729127e+00, 3.3463606867e-01
-1.6775899200e-01, -2.4303859072e+00, 3.3463606867e-01
-1.6773830400e-01, -2.4303859072e+00, 3.3463606867e-01
-1.6771761600e-01, -2.4303859072e+00, 3.3463606867e-01
-1.6769692800e-01, -2.4303859072e+00, 3.3463606867e-01
-1.6767624000e-01, -2.4425989017e+00, 3.3463606867e-01
-1.6765555200e-01, -2.4303859072e+00, 3.3463606867e-01
-1.6763486400e-01, -2.4303859072e+00, 3.3219346963e-01
-1.6761417600e-01, -2.4303859072e+00, 3.3219346963e-01
-1.6759348800e-01, -2.4303859072e+00, 3.3463606867e-01
-1.6757280000e-01, -2.4425989017e+00, 3.3219346963e-01
-1.6755211200e-01, -2.4425989017e+00, 3.3463606867e-01
-1.6753142400e-01, -2.4303859072e+00, 3.3463606867e-01
-1.6751073600e-01, -2.4425989017e+00, 3.3219346963e-01
-1.6749004800e-01, -2.4425989017e+00, 3.3463606867e-01
-1.6746936000e-01, -2.4425989017e+00, 3.3463606867e-01
-1.6744867200e-01, -2.4425989017e+00, 3.3463606867e-01
-1.6742798400e-01, -2.4425989017e+00, 3.3463606867e-01
-1.6740729600e-01, -2.4548118962e+00, 3.3463606867e-01
-1.6738660800e-01, -2.4548118962e+00, 3.3463606867e-01
-1.6736592000e-01, -2.4548118962e+00, 3.3463606867e-01
-1.6734523200e-01, -2.4548118962e+00, 3.3463606867e-01
-1.6732454400e-01, -2.4670248907e+00, 3.3219346963e-01
-1.6730385600e-01, -2.4670248907e+00, 3.3463606867e-01
-1.6728316800e-01, -2.4548118962e+00, 3.3463606867e-01
-1.6726248000e-01, -2.4548118962e+00, 3.3463606867e-01
-1.6724179200e-01, -2.4670248907e+00, 3.3463606867e-01
-1.6722110400e-01, -2.4670248907e+00, 3.3707866771e-01
-1.6720041600e-01, -2.4670248907e+00, 3.3463606867e-01
-1.6717972800e-01, -2.4670248907e+00, 3.3219346963e-01
-1.6715904000e-01, -2.4670248907e+00, 3.3463606867e-01
-1.6713835200e-01, -2.4670248907e+00, 3.3463606867e-01
-1.6711766400e-01, -2.4792378852e+00, 3.3463606867e-01
-1.6709697600e-01, -2.4792378852e+00, 3.3463606867e-01
-1.6707628800e-01, -2.4792378852e+00, 3.3463606867e-01
-1.6705560000e-01, -2.4670248907e+00, 3.3463606867e-01
-1.6703491200e-01, -2.4670248907e+00, 3.3463606867e-01
-1.6701422400e-01, -2.4792378852e+00, 3.3219346963e-01
-1.6699353600e-01, -2.4792378852e+00, 3.3707866771e-01
-1.6697284800e-01, -2.4914508797e+00, 3.3463606867e-01
-1.6695216000e-01, -2.4914508797e+00, 3.3463606867e-01
-1.6693147200e-01, -2.4914508797e+00, 3.3463606867e-01
-1.6691078400e-01, -2.4914508797e+00, 3.3463606867e-01
-1.6689009600e-01, -2.4914508797e+00, 3.3463606867e-01
-1.6686940800e-01, -2.4914508797e+00, 3.3463606867e-01
-1.6684872000e-01, -2.4792378852e+00, 3.3463606867e-01
-1.6682803200e-01, -2.4914508797e+00, 3.3463606867e-01
-1.6680734400e-01, -2.5036638742e+00, 3.3463606867e-01
-1.6678665600e-01, -2.5036638742e+00, 3.3219346963e-01
-1.6676596800e-01, -2.4914508797e+00, 3.3707866771e-01
-1.6674528000e-01, -2.5158768687e+00, 3.3463606867e-01
-1.6672459200e-01, -2.5158768687e+00, 3.3219346963e-01
-1.6670390400e-01, -2.5036638742e+00, 3.3463606867e-01
-1.6668321600e-01, -2.5158768687e+00, 3.3463606867e-01
-1.6666252800e-01, -2.5158768687e+00, 3.3707866771e-01
-1.6664184000e-01, -2.5158768687e+00, 3.3463606867e-01
-1.6662115200e-01, -2.5158768687e+00, 3.3219346963e-01
-1.6660046400e-01, -2.5158768687e+00, 3.3463606867e-01
-1.6657977600e-01, -2.5280898632e+00, 3.3463606867e-01
-1.6655908800e-01, -2.5280898632e+00, 3.3463606867e-01
-1.6653840000e-01, -2.5280898632e+00, 3.3463606867e-01
-1.6651771200e-01, -2.5280898632e+00, 3.3463606867e-01
-1.6649702400e-01, -2.5158768687e+00, 3.3463606867e-01
-1.6647633600e-01, -2.5280898632e+00, 3.3219346963e-01
-1.6645564800e-01, -2.5280898632e+00, 3.3463606867e-01
-1.6643496000e-01, -2.5280898632e+00, 3.3463606867e-01
-1.6641427200e-01, -2.5403028578e+00, 3.3707866771e-01
-1.6639358400e-01, -2.5280898632e+00, 3.3463606867e-01
-1.6637289600e-01, -2.5280898632e+00, 3.3463606867e-01
-1.6635220800e-01, -2.5525158523e+00, 3.3463606867e-01
-1.6633152000e-01, -2.5403028578e+00, 3.3463606867e-01
-1.6631083200e-01, -2.5525158523e+00, 3.3463606867e-01
-1.6629014400e-01, -2.5403028578e+00, 3.3463606867e-01
-1.6626945600e-01, -2.5403028578e+00, 3.3463606867e-01
-1.6624876800e-01, -2.5403028578e+00, 3.3463606867e-01
-1.6622808000e-01, -2.5525158523e+00, 3.3463606867e-01
-1.6620739200e-01, -2.5403028578e+00, 3.3219346963e-01
-1.6618670400e-01, -2.5525158523e+00, 3.3219346963e-01
-1.6616601600e-01, -2.5403028578e+00, 3.3707866771e-01
-1.6614532800e-01, -2.5647288468e+00, 3.3707866771e-01
-1.6612464000e-01, -2.5525158523e+00, 3.3463606867e-01
-1.6610395200e-01, -2.5525158523e+00, 3.3463606867e-01
-1.6608326400e-01, -2.5647288468e+00, 3.3219346963e-01
-1.6606257600e-01, -2.5647288468e+00, 3.3707866771e-01
-1.6604188800e-01, -2.5647288468e+00, 3.3463606867e-01
-1.6602120000e-01, -2.5769418413e+00, 3.3707866771e-01
-1.6600051200e-01, -2.5647288468e+00, 3.3463606867e-01
-1.6597982400e-01, -2.5769418413e+00, 3.3463606867e-01
-1.6595913600e-01, -2.5769418413e+00, 3.3463606867e-01
-1.6593844800e-01, -2.5647288468e+00, 3.3463606867e-01
-1.6591776000e-01, -2.5891548358e+00, 3.3463606867e-01
-1.6589707200e-01, -2.5769418413e+00, 3.3707866771e-01
-1.6587638400e-01, -2.5769418413e+00, 3.3463606867e-01
-1.6585569600e-01, -2.5891548358e+00, 3.3463606867e-01
-1.6583500800e-01, -2.5769418413e+00, 3.3463606867e-01
-1.6581432000e-01, -2.5769418413e+00, 3.3219346963e-01
-1.6579363200e-01, -2.5891548358e+00, 3.3463606867e-01
-1.6577294400e-01, -2.5891548358e+00, 3.3463606867e-01
-1.6575225600e-01, -2.5891548358e+00, 3.3463606867e-01
-1.6573156800e-01, -2.6135808248e+00, 3.3463606867e-01
-1.6571088000e-01, -2.6013678303e+00, 3.3463606867e-01
-1.6569019200e-01, -2.5891548358e+00, 3.3463606867e-01
-1.6566950400e-01, -2.6013678303e+00, 3.3463606867e-01
-1.6564881600e-01, -2.5891548358e+00, 3.3463606867e-01
-1.6562812800e-01, -2.5891548358e+00, 3.3463606867e-01
-1.6560744000e-01, -2.6135808248e+00, 3.3463606867e-01
-1.6558675200e-01, -2.6013678303e+00, 3.3707866771e-01
-1.6556606400e-01, -2.6013678303e+00, 3.3463606867e-01
-1.6554537600e-01, -2.6013678303e+00, 3.3463606867e-01
-1.6552468800e-01, -2.6013678303e+00, 3.3463606867e-01
-1.6550400000e-01, -2.6135808248e+00, 3.3707866771e-01
-1.6548331200e-01, -2.6013678303e+00, 3.3463606867e-01
-1.6546262400e-01, -2.6135808248e+00, 3.3463606867e-01
-1.6544193600e-01, -2.6257938193e+00, 3.3463606867e-01
-1.6542124800e-01, -2.6135808248e+00, 3.3463606867e-01
-1.6540056000e-01, -2.6135808248e+00, 3.3463606867e-01
-1.6537987200e-01, -2.6135808248e+00, 3.3463606867e-01
-1.6535918400e-01, -2.6135808248e+00, 3.3463606867e-01
-1.6533849600e-01, -2.6257938193e+00, 3.3463606867e-01
-1.6531780800e-01, -2.6257938193e+00, 3.3463606867e-01
-1.6529712000e-01, -2.6257938193e+00, 3.3707866771e-01
-1.6527643200e-01, -2.6257938193e+00, 3.3463606867e-01
