% Moku:Go Oscilloscope
% Channel A (Input 2), DC coupling, 1 x probe attenuation
% Channel B (Input 1), DC coupling, 1 x probe attenuation
% Time span 480.9 ms, time offset 3.629 ms, Normal acquisition mode, no averaging
% Edge trigger: Channel A, level 0.000 V, Auto mode, Rising edge, Auto sensitivity, noise reject off, HF reject off
% Output 1 (off) - Sine, 10.000 000 000 000 MHz, 1.000 0 Vpp, offset 0.000 0 V, phase 0.000 000 deg
% Output 2 (off) - Ramp, 50.000 000 000 kHz, 500.0 mVpp, offset 0.000 0 V, phase 0.000 000 deg, symmetry 90.00 %
% Acquired 2025-06-23 T 17:01:13 +0200
% Time (s), Channel A (V), Channel B (V)
-2.6970944000e-01, 5.9110893421e+00, 3.3707866771e-01
-2.6967576000e-01, 5.9110893421e+00, 3.3707866771e-01
-2.6964208000e-01, 5.9110893421e+00, 3.3463606867e-01
-2.6960840000e-01, 5.9233023366e+00, 3.3463606867e-01
-2.6957472000e-01, 5.9110893421e+00, 3.3707866771e-01
-2.6954104000e-01, 5.8988763476e+00, 3.3707866771e-01
-2.6950736000e-01, 5.8988763476e+00, 3.3463606867e-01
-2.6947368000e-01, 5.8988763476e+00, 3.3707866771e-01
-2.6944000000e-01, 5.8988763476e+00, 3.3463606867e-01
-2.6940632000e-01, 5.8988763476e+00, 3.3707866771e-01
-2.6937264000e-01, 5.8988763476e+00, 3.3707866771e-01
-2.6933896000e-01, 5.8988763476e+00, 3.3463606867e-01
-2.6930528000e-01, 5.8744503586e+00, 3.3707866771e-01
-2.6927160000e-01, 5.8744503586e+00, 3.3463606867e-01
-2.6923792000e-01, 5.8744503586e+00, 3.3463606867e-01
-2.6920424000e-01, 5.8744503586e+00, 3.3463606867e-01
-2.6917056000e-01, 5.8622373641e+00, 3.3707866771e-01
-2.6913688000e-01, 5.8744503586e+00, 3.3463606867e-01
-2.6910320000e-01, 5.8744503586e+00, 3.3707866771e-01
-2.6906952000e-01, 5.8622373641e+00, 3.3463606867e-01
-2.6903584000e-01, 5.8622373641e+00, 3.3707866771e-01
-2.6900216000e-01, 5.8500243695e+00, 3.3463606867e-01
-2.6896848000e-01, 5.8622373641e+00, 3.3707866771e-01
-2.6893480000e-01, 5.8500243695e+00, 3.3463606867e-01
-2.6890112000e-01, 5.8500243695e+00, 3.3463606867e-01
-2.6886744000e-01, 5.8378113750e+00, 3.3463606867e-01
-2.6883376000e-01, 5.8378113750e+00, 3.3463606867e-01
-2.6880008000e-01, 5.8378113750e+00, 3.3707866771e-01
-2.6876640000e-01, 5.8378113750e+00, 3.3463606867e-01
-2.6873272000e-01, 5.8255983805e+00, 3.3707866771e-01
-2.6869904000e-01, 5.8255983805e+00, 3.3707866771e-01
-2.6866536000e-01, 5.8255983805e+00, 3.3707866771e-01
-2.6863168000e-01, 5.8255983805e+00, 3.3707866771e-01
-2.6859800000e-01, 5.8255983805e+00, 3.3707866771e-01
-2.6856432000e-01, 5.8133853860e+00, 3.3707866771e-01
-2.6853064000e-01, 5.8378113750e+00, 3.3463606867e-01
-2.6849696000e-01, 5.8133853860e+00, 3.3463606867e-01
-2.6846328000e-01, 5.8133853860e+00, 3.3463606867e-01
-2.6842960000e-01, 5.8133853860e+00, 3.3707866771e-01
-2.6839592000e-01, 5.8011723915e+00, 3.3707866771e-01
-2.6836224000e-01, 5.8011723915e+00, 3.3707866771e-01
-2.6832856000e-01, 5.8011723915e+00, 3.3463606867e-01
-2.6829488000e-01, 5.7889593970e+00, 3.3463606867e-01
-2.6826120000e-01, 5.8011723915e+00, 3.3463606867e-01
-2.6822752000e-01, 5.8011723915e+00, 3.3707866771e-01
-2.6819384000e-01, 5.7889593970e+00, 3.3463606867e-01
-2.6816016000e-01, 5.7889593970e+00, 3.3463606867e-01
-2.6812648000e-01, 5.7767464025e+00, 3.3463606867e-01
-2.6809280000e-01, 5.7889593970e+00, 3.3463606867e-01
-2.6805912000e-01, 5.7767464025e+00, 3.3463606867e-01
-2.6802544000e-01, 5.7645334080e+00, 3.3707866771e-01
-2.6799176000e-01, 5.7767464025e+00, 3.3463606867e-01
-2.6795808000e-01, 5.7767464025e+00, 3.3707866771e-01
-2.6792440000e-01, 5.7645334080e+00, 3.3463606867e-01
-2.6789072000e-01, 5.7645334080e+00, 3.3707866771e-01
-2.6785704000e-01, 5.7645334080e+00, 3.3463606867e-01
-2.6782336000e-01, 5.7523204135e+00, 3.3707866771e-01
-2.6778968000e-01, 5.7645334080e+00, 3.3707866771e-01
-2.6775600000e-01, 5.7523204135e+00, 3.3463606867e-01
-2.6772232000e-01, 5.7523204135e+00, 3.3707866771e-01
-2.6768864000e-01, 5.7523204135e+00, 3.3463606867e-01
-2.6765496000e-01, 5.7523204135e+00, 3.3707866771e-01
-2.6762128000e-01, 5.7401074190e+00, 3.3463606867e-01
-2.6758760000e-01, 5.7401074190e+00, 3.3707866771e-01
-2.6755392000e-01, 5.7278944245e+00, 3.3463606867e-01
-2.6752024000e-01, 5.7278944245e+00, 3.3463606867e-01
-2.6748656000e-01, 5.7401074190e+00, 3.3463606867e-01
-2.6745288000e-01, 5.7278944245e+00, 3.3463606867e-01
-2.6741920000e-01, 5.7401074190e+00, 3.3707866771e-01
-2.6738552000e-01, 5.7156814300e+00, 3.3707866771e-01
-2.6735184000e-01, 5.7156814300e+00, 3.3707866771e-01
-2.6731816000e-01, 5.7156814300e+00, 3.3463606867e-01
-2.6728448000e-01, 5.7156814300e+00, 3.3463606867e-01
-2.6725080000e-01, 5.7156814300e+00, 3.3463606867e-01
-2.6721712000e-01, 5.7034684354e+00, 3.3463606867e-01
-2.6718344000e-01, 5.7034684354e+00, 3.3707866771e-01
-2.6714976000e-01, 5.7034684354e+00, 3.3463606867e-01
-2.6711608000e-01, 5.6912554409e+00, 3.3219346963e-01
-2.6708240000e-01, 5.7034684354e+00, 3.3707866771e-01
-2.6704872000e-01, 5.6912554409e+00, 3.3707866771e-01
-2.6701504000e-01, 5.6912554409e+00, 3.3707866771e-01
-2.6698136000e-01, 5.6790424464e+00, 3.3707866771e-01
-2.6694768000e-01, 5.6912554409e+00, 3.3463606867e-01
-2.6691400000e-01, 5.6912554409e+00, 3.3463606867e-01
-2.6688032000e-01, 5.6790424464e+00, 3.3463606867e-01
-2.6684664000e-01, 5.6912554409e+00, 3.3707866771e-01
-2.6681296000e-01, 5.6790424464e+00, 3.3463606867e-01
-2.6677928000e-01, 5.6790424464e+00, 3.3463606867e-01
-2.6674560000e-01, 5.6668294519e+00, 3.3707866771e-01
-2.6671192000e-01, 5.6668294519e+00, 3.3707866771e-01
-2.6667824000e-01, 5.6546164574e+00, 3.3463606867e-01
-2.6664456000e-01, 5.6546164574e+00, 3.3463606867e-01
-2.6661088000e-01, 5.6546164574e+00, 3.3707866771e-01
-2.6657720000e-01, 5.6546164574e+00, 3.3463606867e-01
-2.6654352000e-01, 5.6546164574e+00, 3.3463606867e-01
-2.6650984000e-01, 5.6424034629e+00, 3.3463606867e-01
-2.6647616000e-01, 5.6424034629e+00, 3.3463606867e-01
-2.6644248000e-01, 5.6546164574e+00, 3.3707866771e-01
-2.6640880000e-01, 5.6424034629e+00, 3.3707866771e-01
-2.6637512000e-01, 5.6424034629e+00, 3.3463606867e-01
-2.6634144000e-01, 5.6301904684e+00, 3.3707866771e-01
-2.6630776000e-01, 5.6424034629e+00, 3.3463606867e-01
-2.6627408000e-01, 5.6424034629e+00, 3.3463606867e-01
-2.6624040000e-01, 5.6301904684e+00, 3.3707866771e-01
-2.6620672000e-01, 5.6301904684e+00, 3.3707866771e-01
-2.6617304000e-01, 5.6301904684e+00, 3.3463606867e-01
-2.6613936000e-01, 5.6179774739e+00, 3.3463606867e-01
-2.6610568000e-01, 5.6301904684e+00, 3.3463606867e-01
-2.6607200000e-01, 5.6179774739e+00, 3.3463606867e-01
-2.6603832000e-01, 5.6057644794e+00, 3.3463606867e-01
-2.6600464000e-01, 5.6179774739e+00, 3.3463606867e-01
-2.6597096000e-01, 5.6179774739e+00, 3.3707866771e-01
-2.6593728000e-01, 5.6057644794e+00, 3.3707866771e-01
-2.6590360000e-01, 5.6057644794e+00, 3.3463606867e-01
-2.6586992000e-01, 5.6057644794e+00, 3.3463606867e-01
-2.6583624000e-01, 5.6057644794e+00, 3.3463606867e-01
-2.6580256000e-01, 5.5935514849e+00, 3.3707866771e-01
-2.6576888000e-01, 5.6057644794e+00, 3.3463606867e-01
-2.6573520000e-01, 5.5935514849e+00, 3.3463606867e-01
-2.6570152000e-01, 5.6057644794e+00, 3.3463606867e-01
-2.6566784000e-01, 5.5935514849e+00, 3.3463606867e-01
-2.6563416000e-01, 5.5935514849e+00, 3.3463606867e-01
-2.6560048000e-01, 5.5813384904e+00, 3.3463606867e-01
-2.6556680000e-01, 5.5935514849e+00, 3.3463606867e-01
-2.6553312000e-01, 5.5813384904e+00, 3.3707866771e-01
-2.6549944000e-01, 5.5813384904e+00, 3.3463606867e-01
-2.6546576000e-01, 5.5691254959e+00, 3.3463606867e-01
-2.6543208000e-01, 5.5691254959e+00, 3.3463606867e-01
-2.6539840000e-01, 5.5691254959e+00, 3.3463606867e-01
-2.6536472000e-01, 5.5691254959e+00, 3.3463606867e-01
-2.6533104000e-01, 5.5569125013e+00, 3.3463606867e-01
-2.6529736000e-01, 5.5569125013e+00, 3.3463606867e-01
